policy,n_jobs_completed,avg_jct_min,p95_jct_min,makespan_min,mean_gpu_utilization,fragmentation_rate,backfill_admissions,cluster,n_hosts,boot_rep
Backfill_FIFO,700,551.3824523809525,2770.9425000000006,20732.86666666667,0.7898554614774287,0.002617801047120419,368,Earth,8,26
Wind_proxy,700,551.3824523809525,2770.9425000000006,20732.86666666667,0.7898554614774287,0.002617801047120419,368,Earth,8,26
PredSched_LLM,700,427.8800714285714,1872.0,19975.516666666666,0.8198019726857299,0.024869109947643978,456,Earth,8,26
FIFO,700,7561.400595238094,16085.197499999997,32710.66666666667,0.6619428502552686,0.010666666666666666,0,Earth,8,27
QSSF_proxy,700,6071.819880952381,14175.499166666674,29119.699999999997,0.7435719436355228,0.0013333333333333333,276,Earth,8,27
RF_SRPT_proxy,700,6044.747714285713,13958.431666666682,30428.15,0.7115973835768308,0.005333333333333333,197,Earth,8,27
Backfill_FIFO,700,6216.544642857144,13763.766666666665,30801.450000000004,0.7029731368842483,0.004,332,Earth,8,27
Wind_proxy,700,6219.049666666668,13838.845833333333,31032.01666666667,0.6977500740498657,0.0,332,Earth,8,27
PredSched_LLM,700,6044.747714285713,13958.431666666682,30428.15,0.7115973835768308,0.005333333333333333,197,Earth,8,27
FIFO,700,3115.074404761905,10605.513333333334,23656.933333333334,0.7388822564174279,0.01971090670170828,0,Earth,8,28
QSSF_proxy,700,597.6831904761908,2701.397500000002,20685.183333333334,0.8450342450232092,0.03810775295663601,278,Earth,8,28
RF_SRPT_proxy,700,502.5441904761909,2071.516666666667,21971.86666666667,0.7955486234480155,0.03679369250985545,313,Earth,8,28
Backfill_FIFO,700,782.0077619047621,5278.374166666668,21360.966666666667,0.8183004334034512,0.030223390275952694,319,Earth,8,28
Wind_proxy,700,782.0077619047621,5278.374166666668,21360.966666666667,0.8183004334034512,0.030223390275952694,319,Earth,8,28
PredSched_LLM,700,502.5441904761909,2071.516666666667,21971.86666666667,0.7955486234480155,0.03679369250985545,313,Earth,8,28
FIFO,700,1690.051952380953,4350.12083333333,21624.56666666667,0.563832842218803,0.01437908496732026,0,Earth,8,29
QSSF_proxy,700,309.6216904761905,1801.0983333333318,18459.516666666666,0.6605070493223458,0.013071895424836602,149,Earth,8,29
RF_SRPT_proxy,700,344.64669047619054,2079.290833333333,18244.416666666668,0.668294366883933,0.018300653594771243,145,Earth,8,29
Backfill_FIFO,700,407.7423333333335,2581.575833333331,18220.133333333335,0.66918505273013,0.01437908496732026,293,Earth,8,29
Wind_proxy,700,400.56369047619063,2579.949166666666,18220.133333333335,0.6691850527301301,0.013071895424836602,293,Earth,8,29
PredSched_LLM,700,344.64669047619054,2079.290833333333,18244.416666666668,0.668294366883933,0.018300653594771243,145,Earth,8,29
FIFO,700,677.3869047619049,2516.926666666665,20184.75,0.5745602858180888,0.010723860589812333,0,Earth,8,30
QSSF_proxy,700,310.2546428571428,1878.8816666666603,18230.133333333335,0.6361640651284322,0.0160857908847185,82,Earth,8,30
RF_SRPT_proxy,700,254.5166904761904,1397.345833333331,18276.4,0.6345536171875569,0.013404825737265416,122,Earth,8,30
Backfill_FIFO,700,347.4731904761905,2145.940833333332,18276.4,0.6345536171875573,0.01876675603217158,303,Earth,8,30
Wind_proxy,700,349.9135238095237,2145.940833333332,18276.4,0.6345536171875573,0.00938337801608579,298,Earth,8,30
PredSched_LLM,700,254.5166904761904,1397.345833333331,18276.4,0.6345536171875569,0.013404825737265416,122,Earth,8,30
FIFO,700,3730.705833333333,10598.266666666665,26573.449999999997,0.716002083768448,0.012,0,Earth,8,31
QSSF_proxy,700,833.432357142857,6119.764166666613,22574.86666666667,0.8428242724024947,0.005333333333333333,334,Earth,8,31
RF_SRPT_proxy,700,778.937523809524,6504.195833333335,24707.500000000004,0.7700757087085568,0.021333333333333333,315,Earth,8,31
Backfill_FIFO,700,1146.0941428571425,6208.207499999987,21894.41666666666,0.8690181548378012,0.009333333333333334,328,Earth,8,31
Wind_proxy,700,1146.0941428571425,6208.207499999987,21894.41666666666,0.8690181548378012,0.009333333333333334,328,Earth,8,31
PredSched_LLM,700,778.937523809524,6504.195833333335,24707.500000000004,0.7700757087085568,0.021333333333333333,315,Earth,8,31
FIFO,700,1576.3579285714286,4858.5091666666585,20428.15,0.7009257522707637,0.026954177897574125,0,Earth,8,32
QSSF_proxy,700,319.2910476190475,1416.2666666666664,19433.666666666664,0.7367943812070118,0.006738544474393531,307,Earth,8,32
RF_SRPT_proxy,700,319.711119047619,1266.889166666664,19433.666666666664,0.7367943812070118,0.005390835579514825,321,Earth,8,32
Backfill_FIFO,700,351.4921904761903,2110.4233333333314,19433.666666666664,0.7367943812070118,0.005390835579514825,323,Earth,8,32
Wind_proxy,700,353.0730238095236,2108.7733333333317,19433.666666666664,0.7367943812070117,0.016172506738544475,323,Earth,8,32
PredSched_LLM,700,319.711119047619,1266.889166666664,19433.666666666664,0.7367943812070118,0.005390835579514825,321,Earth,8,32
FIFO,700,669.2741666666666,2438.9024999999983,19027.9,0.5554808525682459,0.028532608695652172,0,Earth,8,33
QSSF_proxy,700,240.88880952380956,1417.3249999999987,18225.399999999998,0.5799397606956963,0.010869565217391304,191,Earth,8,33
RF_SRPT_proxy,700,234.80002380952385,1417.6466666666652,18471.433333333334,0.5722151564442756,0.024456521739130436,165,Earth,8,33
Backfill_FIFO,700,254.77426190476194,1434.7849999999994,18284.766666666666,0.5780568222318035,0.012228260869565218,281,Earth,8,33
Wind_proxy,700,254.93540476190483,1435.0066666666662,18284.766666666666,0.5780568222318034,0.017663043478260868,305,Earth,8,33
PredSched_LLM,700,234.80002380952385,1417.6466666666652,18471.433333333334,0.5722151564442756,0.024456521739130436,165,Earth,8,33
FIFO,700,2771.6797380952385,10799.059166666662,23420.549999999996,0.7665247840571645,0.02796271637816245,0,Earth,8,34
QSSF_proxy,700,736.1550238095236,4388.414999999994,21614.2,0.8305850797739448,0.022636484687083888,289,Earth,8,34
RF_SRPT_proxy,700,782.0068809523812,4941.229166666586,21862.266666666666,0.8211606008183049,0.018641810918774968,305,Earth,8,34
Backfill_FIFO,700,940.3748333333334,6277.460833333333,21177.399999999994,0.8477165294724565,0.013315579227696404,333,Earth,8,34
Wind_proxy,700,940.3748333333334,6277.460833333333,21177.399999999994,0.8477165294724565,0.013315579227696404,333,Earth,8,34
PredSched_LLM,700,782.0068809523812,4941.229166666586,21862.266666666666,0.8211606008183049,0.018641810918774968,305,Earth,8,34
FIFO,700,961.1472857142852,3701.1666666666642,20109.449999999997,0.6195391294059927,0.0158311345646438,0,Earth,8,35
QSSF_proxy,700,321.439357142857,1806.8999999999987,20060.25,0.6210586182043263,0.014511873350923483,142,Earth,8,35
RF_SRPT_proxy,700,344.88557142857144,1804.0625000000007,20542.65,0.6064743908810859,0.01978891820580475,172,Earth,8,35
Backfill_FIFO,700,391.39816666666667,2374.387499999995,20105.833333333336,0.6196505730094917,0.017150395778364115,169,Earth,8,35
Wind_proxy,700,477.6276666666665,3114.4899999999984,20108.1,0.6195807234812506,0.025065963060686015,176,Earth,8,35
PredSched_LLM,700,344.88557142857144,1804.0625000000007,20542.65,0.6064743908810859,0.01978891820580475,172,Earth,8,35
FIFO,700,12616.977642857142,28470.52750000002,43550.95,0.8632936561468041,0.030104712041884817,0,Earth,8,36
QSSF_proxy,700,735.5619285714287,2700.8833333333337,48260.63333333333,0.7790461139306775,0.002617801047120419,247,Earth,8,36
