host_ip,observed_max_gpu,capacity,DSW,PSW,ASW
52ebe425760921ac88320862cff19e5d6b4aa0dba7bc4378bc68f0c9e8562e65,8.0,8,G6,P12,S3
52f819887dc9d409d6983314d354bbf185341827144269ed101ef777216153cd,8.0,8,G6,P10,S37
53072551df28ce5257222a8225b2393157735eb90fa80702aa5b18c02473db7f,8.0,8,G6,P10,S18
532d9016532f0b4213dfd6fd928a8e3085f0d8cdb6682a44abd14073f45a459b,8.0,8,G6,P10,S32
55be110c66a62c423d283b6e8715e09e53dada8b868031fc86363c97be9e755d,8.0,8,G6,P12,S9
56930296baef3153454636256d77c329b7b1377390eb54361e458900bf97b849,8.0,8,G6,P10,S43
573c09493a091ad76d79aadfae5cfa72c15c842ce6f17a02bca115faf4db1b62,8.0,8,G6,P10,S21
575458f6fded59110ef1a99e437e0396fc0bee57825b8a60de6c202b24857c9d,8.0,8,UNKNOWN_DC,UNKNOWN_POD,UNKNOWN_RACK
5756de8c0cde1213785fbc64bf428af90526535eb4d855f3c8241adcd4d36dab,8.0,8,G6,P8,S31
577f7f08df3b829b602b72d1a588650f1198aa6d4809b7c0dc59ba81ae53b2a8,8.0,8,G6,P12,S22
5817353dc2cb393164e33c2f35af9300a13905b5ec3afad1de9cb2aebac9298f,8.0,8,G6,P12,S12
58cdab3fc1d5b32e2404c39c74925a8565c5e64938f334bf98b13cf9108fe1c5,8.0,8,G6,P10,S19
59187fd97cb5fc1dea38db470baee29d1c4918fac2b24be82b8ed688019d98bf,8.0,8,G6,P10,S48
598809609360e0517e8e92f3158990287e8e28c87e1ccd2e664398d6d3f00c65,8.0,8,G6,P10,S13
5a19af250c5fa4bf58fd2f7e7e1e17c02ab7c20213344e8c3f9d164a39d46501,8.0,8,G6,P10,S17
5a7e0db9c7a9de41a36827e9c4cd04c4535688ab8fec1d38fd98e1f0e6384f93,8.0,8,G6,P12,S20
5af211d8e9e35140c4c6bc926196252e423ee8e619de7fba56e775388a60bc2e,8.0,8,G6,P12,S12
5b5984e0926b15d983bac80cb2312799ef38c44a7342804d2a80cf7f759b6ebc,8.0,8,G6,P10,S38
5baa7b86c9d709424ff0e6e05e65fbb29d3345780799284b241dfae9ff792fa2,8.0,8,G6,P12,S3
5bc54b3960e8bb7e5a6d2eb9eb99c8273c92caee11471bfbe10a73152cfdc966,8.0,8,G6,P10,S11
5be6fdf78f49d2d3a9475734d4662f3552704c53a1178c9d725890027b39993e,8.0,8,G6,P12,S24
5c72a8ebcff72f0964d61b5fb0548863f47943ec7566c1d174401b7ff82f55b6,8.0,8,G6,P12,S13
5c9546ca1e0754e41d5b896bcba09cfb6b7c341a12619651477fe1bba6250c20,8.0,8,G6,P10,S3
5ccd265cf6e33b47924face4328ce4ae43a237ed4ce276037b80a7c1981024ec,8.0,8,G6,P12,S5
5cebe6f8bb0cffda766a3f740a9970e7c5c79a77b1f5b5e3a4c6ca8e559bca3b,1.0,8,G6,P10,S38
5d6f1a570a9192e3b6d0131c0a3150cdae727c563fa2f86cc949e351f691be26,8.0,8,G6,P10,S9
5e38412f581f8d389d69bef06422b7982e94688caa1f7d639ab92b57be0886b7,8.0,8,G6,P10,S15
5f45744605818a93ebbd8e7066cf3d3c890df3f0163453adcd9ba1dce98b25ef,8.0,8,G6,P12,S29
5f98f0060741414bd6ac2dd2782304f5e3b1bcde64e3dc9d90e029537caa76d3,8.0,8,G6,P12,S21
5ff3ac5657644028c1aec8d9d00b6d92bdc640035f1e806be9ba35a0f8ceb48a,8.0,8,G6,P8,S30
600e021631752401ea4929838202cb11a9fb2450bcde09433c1abaa2e30619f7,8.0,8,G6,P12,S22
6023071bf3c73cfc74f372e0457dea653fe1f54ef261603d497a89089e9b9b54,8.0,8,G6,P10,S14
602e462956af958d09e710f3358ae650fa7245e0efd09b5ed940dfb8f50d1d26,8.0,8,G6,P10,S9
605a41c369b964e388af701a41e0a5f9f8842c4c4dccfbb1ea6dda2264dd8683,8.0,8,G6,P10,S10
6075fc7b50225ff85884510a35ed9fcfaa0fa97577ebcf886c92331a4e0cce28,8.0,8,G6,P12,S31
613a27d452a0c3efe19d0012b207d93a764ab6feb69e7e6375502bf09c508ecd,8.0,8,G6,P10,S7
